Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
detail_from_right,从右,1,-1,-1,
detail_clip,剪辑,1,-1,-1,
detail_hook,钩,1,-1,-1,
detail_drops,下陷,1,-1,-1,
detail_drops_inside,内侧下陷,1,-1,-1,
detail_drops_outside,外侧下陷,1,-1,-1,
detail_hole,坑,1,-1,-1,
detail_ruts,车辙,1,-1,-1,
detail_stump,树桩,1,-1,-1,
detail_bush,灌木,1,-1,-1,
detail_tyres,轮胎,1,-1,-1,
detail_spectators,观众,1,-1,-1,
detail_marshalls,赛道工作人员,1,-1,-1,
detail_tape,胶带,1,-1,-1,
detail_island,中央岛,1,-1,-1,
detail_entry,入口,1,-1,-1,
detail_exit,出口,1,-1,-1,
detail_border,边界,1,-1,-1,
detail_edge,边缘,1,-1,-1,
detail_curb,路缘石,1,-1,-1,
detail_shoulder,路肩,1,-1,-1,
detail_steep_slope,陡坡,1,-1,-1,
detail_steep_incline,陡坡,1,-1,-1,
detail_steep,陡,1,-1,-1,
detail_steep_hill,陡坡,1,-1,-1,
detail_dab,轻踩,1,-1,-1,
detail_handbrake,手刹,1,-1,-1,
detail_neat,干净利落,1,-1,-1,
detail_slowing,缓慢的,1,-1,-1,
detail_brave,勇敢,1,-1,-1,
detail_rotate,大把转向,1,-1,-1,
detail_walk,缓行,1,-1,-1,
detail_lift,抬起,1,-1,-1,
detail_stop,停车,1,-1,-1,
detail_understeer,前轮打滑,1,-1,-1,
detail_draws_in,收紧,1,-1,-1,
detail_take_speed,提速,1,-1,-1,
detail_at,在,1,-1,-1,
detail_until,直到,1,-1,-1,
detail_near,靠近,1,-1,-1,
detail_after,之后,1,-1,-1,
detail_dirty,脏路面,1,-1,-1,
